City,Agi,PublicStation,PrivateStation
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Medina,748893.0,0,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#MercerIsland,206897.0,9,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Kirkland,134703.5,36,1
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Bellevue,126202.2,256,2
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Sammamish,124827.5,10,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#BainbridgeIsland,118406.0,8,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Redmond,108972.0,31,1
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Woodinville,107387.5,14,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Underwood,98875.0,0,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Seattle,95306.411764705882352941176471,525,19
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Issaquah,91807.5,32,1
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#FoxIsland,85507.0,0,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#FallCity,83613.0,1,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Snoqualmie,81073.0,6,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Mazama,80044.0,1,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Edmonds,79915.0,16,1
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Carnation,77487.0,0,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Olga,77465.0,1,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#NorthBend,74622.0,4,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Kenmore,71076.0,2,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#FridayHarbor,70569.0,10,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Camas,69648.0,2,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Duvall,68905.0,0,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#LopezIsland,67488.0,4,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#CleElum,67324.0,5,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Bothell,66791.0,25,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Vashon,65917.0,2,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Eastsound,64993.0,4,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Greenbank,63876.0,1,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Ravensdale,63829.0,0,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Indianola,63520.0,0,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Mukilteo,63166.0,3,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#BlackDiamond,62662.0,0,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#PortLudlow,62280.0,0,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Freeland,62030.0,1,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#GigHarbor,61923.333333333333333333333333,8,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Clinton,61419.0,0,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#LibertyLake,61376.0,9,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Hansville,61003.0,0,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Anacortes,60931.0,14,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Snohomish,59734.0,7,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Langley,58310.0,3,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#PointRoberts,58034.0,0,0
http://www.dei.unipd.it/~poor6/db2/ontologies/2023/electricCars#Ridgefield,57400.0,21,0
